,Estado,Fecha,Camas,CamasCovid
34851,Delaware,2022-07-30,2564.0,221.0
45087,Hawái,2022-07-30,1997.0,141.0
37509,Idaho,2022-07-30,2142.0,192.0
40471,Nebraska,2022-07-30,3230.0,215.0
36670,Wyoming,2022-07-30,794.0,38.0
39754,Nevada,2022-07-30,6354.0,411.0
45529,California,2022-07-30,49208.0,4922.0
45035,Oklahoma,2022-07-30,6911.0,418.0
37775,carolina del Sur,2022-07-30,8705.0,609.0
35331,Carolina del Norte,2022-07-30,17823.0,1683.0
34871,Minnesota,2022-07-30,7633.0,500.0
36852,Oregón,2022-07-30,5335.0,469.0
38191,Misuri,2022-07-30,13277.0,1011.0
35758,Maryland,2022-07-30,9400.0,766.0
42361,Georgia,2022-07-30,17153.0,1738.0
43198,Alabama,2022-07-30,9969.0,831.0
38666,Virginia,2022-07-30,12660.0,834.0
320,Islas Virgenes,2022-07-30,104.0,9.0
34228,Iowa,2022-07-30,4620.0,253.0
43651,Tennessee,2022-07-30,14422.0,913.0
42779,Nuevo México,2022-07-30,2824.0,224.0
319,Samoa Estadounidense,2022-07-30,63.0,2.0
41595,Misisipi,2022-07-30,5382.0,456.0
38442,Utah,2022-07-30,4353.0,206.0
42681,Dakota del Sur,2022-07-30,1453.0,77.0
34342,Rhode Island,2022-07-30,1998.0,58.0
44965,Míchigan,2022-07-30,17231.0,953.0
40240,Pensilvania,2022-07-30,26444.0,1677.0
42493,Washington,2022-07-30,10143.0,835.0
34379,Nueva York,2022-07-30,37800.0,2992.0
34121,Massachusetts,2022-07-30,15462.0,605.0
35125,Texas,2022-07-30,50203.0,3933.0
37357,Dakota del Norte,2022-07-30,1565.0,70.0
45649,Nueva Jersey,2022-07-30,16636.0,1146.0
37899,Wisconsin,2022-07-30,8032.0,492.0
36877,Ohio,2022-07-30,21832.0,1438.0
36178,Colorado,2022-07-30,7832.0,286.0
39810,Arkansas,2022-07-30,6268.0,470.0
41523,Connecticut,2022-07-30,6114.0,394.0
